"location";"street";"zip";"city";"charge";"carrier";"area";"longitude";"latitude"
"Dietrich Bonhoeffer-Bibliothek (Mittelpunktbibliothek) ";"Brandenburgische Straße 2  ";"10713";"Berlin ";"kostenfrei";"QSC AG";"Innenbereich";"13.32";"52.49"
"Heinrich-Schulz-Bibliothek im Rathaus Charlottenburg (Bezirkszentralbibliothek)";"Otto-Suhr-Allee 96 ";"10585";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"13.30";"52.52"
"Musikbibliothek Bundesallee";"Bundesallee 1-12";"10719";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"13.33";"52.50"
"Eberhard-Alexander-Burgh-Bibliothek (Kinderbibliothek)";"Rüdesheimer Str. 14";"14197";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"13.31";"52.47"
"Stadtteilbibliothek Halemweg";"Halemweg 18";"13627";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"13.29";"52.54"
"Adolf-Reichwein-Bibliothek im Rathaus Schmargendorf";"
Berkaer Platz 1";"14199";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"9.43";"54.40"
"Ingeborg-Bachmann-Bibliothek (Stadtteilbibliothek)";"Nehringstraße 10,";"14059";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"13.29";"52.51"
"Johanna-Moosdorf-Bibliothek (Stadtteilbibliothek)";"Westendallee 45";"14052";"Berlin";"kostenfrei";"QSC AG";"Innenbereich";"13.26";"52.51"
"Bezirkszentralbibliothek Frankfurter Allee ";"Frankfurter Allee 14 a ";"10247";"Berlin";"kostenfrei";"Daphi-GmbH";"im ges. Gebäude+ unmittelb.Außenbereich";"13.47";"52.51"
"Mittelpunktbibliothek Adalbertstraße / Wilhelm-Liebknecht- / Namik-Kemal-Bibliothek";"Adalbertstr. 2";"10999";"Berlin";"kostenfrei";"HOTSPLOTS";"im ges. Gebäude+ unmittelb.Außenbereich";"13.42";"52.50"
"Stadtteilbibliothek Dudenstraße / Friedrich-von-Raumer-Bibliothek";"Dudenstr.18-20 ";"10965";"Berlin";"kostenfrei";"HOTSPLOTS";"im ges. Gebäude+ unmittelb.Außenbereich";"13.38";"52.49"
"Stadtteilbibliothek Oranienstraße Bona-Peiser-Bibliothek ";"Oranienstr. 72 ";"10969";"Berlin";"kostenfrei";"HOTSPLOTS";"im ges. Gebäude+ unmittelb.Außenbereich";"13.41";"52.50"
"Familienbibliothek Glogauer Straße";"Glogauer Str. 13";"10999";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.44";"52.49"
"Zentral- und Landesbibliothek Berlin AGB";"Blücherplatz 1";"10961";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich";"13.39";"52.50"
"Anna-Seghers-Bibliothek";"Prerower Platz 2";"13051";"Berlin";"kostenpflichtig";"k.A.";"Innenbereich";"0.00";"0.00"
"Anton-Saefkow-Bibliothek";"Anton-Saefkow-Platz 14";"10369";"Berlin";"kostenpflichtig";"k.A.";"Innenbereich";"13.47";"52.53"
"Bodo-Uhse-Bibliothek";"Erich-Kurz-Straße 9";"10319";"Berlin";"kostenpflichtig";"k.A.";"Innenbereich";"13.52";"52.50"
"Rathaus Lichtenberg";"Möllendorffstr. 6";"10367";"Berlin";"kostenfrei";"HOTSPLOTS";"";"13.48";"52.52"
"Egon-Erwin-Kisch-Bibliothek";"Frankfurter Allee 149";"10365";"Berlin";"kostenpflichtig";"k.A.";"Innenbereich";"13.48";"52.51"
"Bezirkszentralbibliothek „Mark Twain“";"Marzahner Promenade 52-54 ";"12679";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"13.55";"52.54"
"Musikbibliothek Marzahn-Hellersdorf im Freizeitforum Marzahn";"Marzahner Promenade 52-54";"12679";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"13.55";"52.54"
"Stadtteilbibliothek Heinrich von Kleist";"Havemannstr. 17 B";"12689";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"13.57";"52.57"
"Mittelpunktbibliothek Ehm Welk";"Alte Hellersdorfer Str. 125";"12629";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"13.59";"52.54"
"Stadtteilbibliothek Kaulsdorf Nord";"Cecilienplatz 12";"12619";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"0.00";"0.00"
"Stadtteilbibliothek Erich Weinert";"Helene-Weigel-Platz 4";"12681";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"13.54";"52.53"
"Stadtteilbibliothek Mahlsdorf";"Alt-Mahlsdorf 24-26";"12623";"Berlin";"kostenfrei";"in Planung";"Innenbereich";"13.62";"52.50"
"Bezirkszentralbibliothek Philipp Schaeffer";"Brunnenstr. 181 ";"10119";"Berlin";"kostenfrei";"HOTSPLOTS";"im gesamten Kundenbereich, 3Einwahlpkt. ";"13.40";"52.53"
"Bibliothek am Luisenbad";"Travemünder Str. 2 ";"13357";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich/Lesegarten";"13.38";"52.55"
"Bibliothek Tiergarten-Süd ";"Lützowstr. 27 ";"10785";"Berlin";"kostenfrei";"HOTSPLOTS";"Innenbereich der Bibliothek ";"13.37";"52.50"
